id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
40672,SK-133,small_airport,"Trompillos Airport",5.129167,-72.180833,636,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Yopal,0,,,,YOP,,,,50,2009-10-20T10:45:35+00:00
40674,SK-101,small_airport,"Los Cabros Airport",5.441944,-72.234444,730,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Yopal,0,,,,YYP,,,,50,2009-10-20T10:45:34+00:00
40676,SK-050,small_airport,"Araguanen Airport",5.413221,-72.28317,784,NA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Yopal,0,,,,ARG,,,,50,2025-03-09T22:26:29+00:00
40677,SK-078,small_airport,"Germania Airport",5.187451,-72.31939,702,NA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Yopal,0,,,,YPP,,,,50,2025-03-09T22:21:33+00:00
40681,SK-074,small_airport,"El Zamuro Airport",5.14919,-72.35147,688,NA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Yopal,0,,,,ELZ,,,"Aguazul East",50,2025-03-09T22:23:08+00:00
40713,SK-057,small_airport,"Ciénaga Airport",5.248056,-72.868611,5270,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Yopal,0,,,,YPL,,,,50,2009-10-20T10:45:30+00:00
40872,SK-036,small_airport,"Monterrey Airport",9.736667,-74.829444,59,SA,Colombia,CO,"Bolívar Department",CO-BOL,BOL,Zambrano,0,,,,MBO,,,,50,2009-10-20T10:45:30+00:00
40879,SK-034,small_airport,"La Vega Airport",9.856389,-74.895833,77,SA,Colombia,CO,"Bolívar Department",CO-BOL,BOL,Zambrano,0,,,,LVB,,,,50,2009-10-20T10:45:30+00:00
41039,SK-392,small_airport,"Zapatoca Airport",6.767724,-73.284444,6377,NA,Colombia,CO,"Santander Department",CO-SAN,SAN,Zapatoca,0,,,AZT,AZT,,,,50,2024-04-15T18:29:45+00:00
40964,SK-465,small_airport,"Rio Paila Airport",4.317222,-76.093611,3043,SA,Colombia,CO,"Valle del Cauca Department",CO-VAC,VAC,Zarzal,0,,,,OPA,,,,50,2009-10-20T10:46:01+00:00
